nft_id,name,token_id,collection_id,owner_address,character_class,class_confidence,army_power,religion_power,civilization_power,economic_power,total_power,special_powers,materials_found,rarities_found,material_multiplier,rarity_multiplier,all_traits,battles_participated,battles_won,battles_lost
1e917c2d-fc51-4293-b825-974aa5ad25ef,The Platinum Warrior,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8FF8CCC97505BA23DC,ec829c99-fd94-4595-aa26-1a8691c7b29f,rGNd4WfxXd6u45cRAJi6DcwEfeNf4iZKsk,,,3080.00,385.00,385.00,0.00,154200.00,[],"[""platinum""]","[""legendary""]",10.00,5.00,"{""Power"": ""120"", ""Health"": ""150"", ""Rarity"": ""Legendary"", ""Defence"": ""140"", ""Element"": ""Platinum"", ""IQ Level"": ""150"", ""Defence Ability"": ""Truth Vision"", ""Special Ability 1"": ""Mind Control"", ""Special Ability 2"": ""Dream Mastery""}",0,0,0
ad69023a-25de-4543-9bec-8ca83c1bc7ac,The Diamond Rogue,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F863D869B05BA1EFE,ec829c99-fd94-4595-aa26-1a8691c7b29f,rU21i7Fhx7pEC6uveQceCJjHqBXBMcNtbZ,,,1500.00,180.00,180.00,0.00,15200.00,"[""Equipped with shield""]","[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""96"", ""Health"": ""79"", ""Defence"": ""68"", ""Element"": ""Diamond"", ""IQ Level"": ""82"", ""Defence Ability"": ""Light Shield"", ""Special Ability 1"": ""Strategic Retreat"", ""Special Ability 2"": ""Dream Shield""}",0,0,0
fe16328f-2cf8-4e50-86b8-68a708a3551b,The Diamond Sage,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F7797BF8005BA1EE7,ec829c99-fd94-4595-aa26-1a8691c7b29f,rw2uAC346ub9NNf2hwCdLhCZaKzZ5haKWn,,,1460.00,175.00,175.00,0.00,14800.00,"[""Equipped with shield""]","[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""86"", ""Health"": ""79"", ""Defence"": ""64"", ""Element"": ""Diamond"", ""IQ Level"": ""65"", ""Defence Ability"": ""Strategic Retreat"", ""Special Ability 1"": ""Mental Block"", ""Special Ability 2"": ""Dream Shield""}",0,0,0
3efd01f1-9568-4f6e-af6d-59a6a3b3ca0f,The Obsidian Knight,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F07CBCE3205BA1F95,ec829c99-fd94-4595-aa26-1a8691c7b29f,r3vpddE3E2d4Vc68sjjbeboJb1mTbkW6UC,,,1460.00,175.00,175.00,0.00,14800.00,"[""Equipped with shield""]","[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""61"", ""Health"": ""65"", ""Defence"": ""88"", ""Element"": ""Obsidian"", ""IQ Level"": ""90"", ""Defence Ability"": ""Dream Shield"", ""Special Ability 1"": ""Future Sight"", ""Special Ability 2"": ""Mental Block""}",0,0,0
7db2e701-a0e9-4760-b68e-42c8d1373c9a,The Diamond Knight,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8FCB5A651505BA1F7C,ec829c99-fd94-4595-aa26-1a8691c7b29f,rQwKgL7aB37mVugoaKaXMfwfp6wmKrzKC8,,,1460.00,175.00,175.00,0.00,14800.00,"[""Equipped with shield""]","[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""66"", ""Health"": ""83"", ""Defence"": ""82"", ""Element"": ""Diamond"", ""IQ Level"": ""85"", ""Defence Ability"": ""Dream Shield"", ""Special Ability 1"": ""Mental Block"", ""Special Ability 2"": ""Tactical Mind""}",0,0,0
6a1b721a-c577-482e-9b27-0652a6f25aa1,The Diamond Guardian,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F6B37B0A105BA1F08,ec829c99-fd94-4595-aa26-1a8691c7b29f,rK9uR7idnNd3mud6ugBiZww2HPEvVSQh5z,,,1420.00,170.00,170.00,0.00,14400.00,"[""Equipped with shield""]","[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""96"", ""Health"": ""77"", ""Defence"": ""68"", ""Element"": ""Diamond"", ""IQ Level"": ""96"", ""Defence Ability"": ""Energy Shield"", ""Special Ability 1"": ""Dream Walk"", ""Special Ability 2"": ""Time Warp""}",0,0,0
e750b3b1-87c5-464d-bb2f-a8aaafe32229,The Platinum Knight,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8FD7BA73F405BA1F5B,ec829c99-fd94-4595-aa26-1a8691c7b29f,rFs2xratm8aHqUZnFUGrekZEYu4i4HCAp,,,1420.00,170.00,170.00,0.00,14400.00,"[""Equipped with shield""]","[""platinum""]","[""common""]",10.00,1.00,"{""Power"": ""64"", ""Health"": ""66"", ""Defence"": ""88"", ""Element"": ""Platinum"", ""IQ Level"": ""94"", ""Defence Ability"": ""Battle Foresight"", ""Special Ability 1"": ""Life Drain"", ""Special Ability 2"": ""Light Shield""}",0,0,0
68e6292b-7eb9-41b6-9c7b-5ed3897683d0,The Platinum Warrior,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F419E416D05BA23D4,ec829c99-fd94-4595-aa26-1a8691c7b29f,rUX2n1g9fZxNsw1sSzaepefS591cZg3U69,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""platinum""]","[""common""]",10.00,1.00,"{""Power"": ""89"", ""Health"": ""88"", ""Defence"": ""65"", ""Element"": ""Platinum"", ""IQ Level"": ""77"", ""Defence Ability"": ""Mind Control"", ""Special Ability 1"": ""Mental Block"", ""Special Ability 2"": ""Truth Sight""}",0,0,0
0768965a-28cc-4a86-bf1d-18bbb1b0ae7c,The Inquisition #0768965a-28cc-4a86-bf1d-18bbb1b0ae7c,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8FC52146B905BA1D20,d199a27f-ce93-43c7-8cbc-d5ae20770718,rp5DGDDFZdQswWfn3sgkQznCAj9SkkCMLH,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""98"", ""Health"": ""92"", ""Defence"": ""84"", ""Element"": ""Obsidian"", ""IQ Level"": ""68"", ""Defence Ability"": ""Life Drain"", ""Special Ability 1"": ""Dream Walk"", ""Special Ability 2"": ""Strategic Retreat""}",0,0,0
83e2d6a7-65e8-4abc-8ba5-8aea02c34705,The Obsidian Mage,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F7E68E82805BA1F8F,ec829c99-fd94-4595-aa26-1a8691c7b29f,rw2uAC346ub9NNf2hwCdLhCZaKzZ5haKWn,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""61"", ""Health"": ""68"", ""Defence"": ""99"", ""Element"": ""Obsidian"", ""IQ Level"": ""63"", ""Defence Ability"": ""Strategic Retreat"", ""Special Ability 1"": ""Life Drain"", ""Special Ability 2"": ""Iron Will""}",0,0,0
828a55f0-dbbc-4c5f-a150-25d3fe88bf17,The Platinum Mystic,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F481E6F9605BA1CF9,ec829c99-fd94-4595-aa26-1a8691c7b29f,rHYZDXHSqe92AheeRGQ35hBRiG7SVMKyVD,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""platinum""]","[""common""]",10.00,1.00,"{""Power"": ""79"", ""Health"": ""85"", ""Defence"": ""60"", ""Element"": ""Platinum"", ""IQ Level"": ""98"", ""Defence Ability"": ""Shadow Step"", ""Special Ability 1"": ""Elemental Mastery"", ""Special Ability 2"": ""Truth Sight""}",0,0,0
9af97d9d-8172-4131-bcb2-f6bc75cbaffe,The Platinum Rogue,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F110F4DE305BA1E46,ec829c99-fd94-4595-aa26-1a8691c7b29f,rHEHhYU3pR6WCpS3mHaScY7iEVdsmnDH4S,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""platinum""]","[""common""]",10.00,1.00,"{""Power"": ""74"", ""Health"": ""92"", ""Defence"": ""66"", ""Element"": ""Platinum"", ""IQ Level"": ""83"", ""Defence Ability"": ""Dream Walk"", ""Special Ability 1"": ""Iron Will"", ""Special Ability 2"": ""Tactical Mind""}",0,0,0
73055328-230b-4a43-954f-4b2c3ef03687,The Obsidian Seeker,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F5E12F8A505BA230C,ec829c99-fd94-4595-aa26-1a8691c7b29f,rUX2n1g9fZxNsw1sSzaepefS591cZg3U69,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""80"", ""Health"": ""85"", ""Defence"": ""77"", ""Element"": ""Obsidian"", ""IQ Level"": ""84"", ""Defence Ability"": ""Mind Whisper"", ""Special Ability 1"": ""Time Warp"", ""Special Ability 2"": ""Future Sight""}",0,0,0
d3059d2b-244c-4681-95e6-a62dcd97cfe5,The Diamond Priest,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F891B491F05BA1D82,ec829c99-fd94-4595-aa26-1a8691c7b29f,rUX2n1g9fZxNsw1sSzaepefS591cZg3U69,,,1400.00,175.00,175.00,0.00,14200.00,[],"[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""66"", ""Health"": ""83"", ""Defence"": ""85"", ""Element"": ""Diamond"", ""IQ Level"": ""62"", ""Defence Ability"": ""Battle Foresight"", ""Special Ability 1"": ""Mind Whisper"", ""Special Ability 2"": ""Strategic Retreat""}",0,0,0
1369cee4-53a8-4005-9c20-ae9ad27c4022,The Obsidian Mage,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F00629B3E05BA20A1,ec829c99-fd94-4595-aa26-1a8691c7b29f,rNc8FD1zMff88KjXSNwFYnyW1ZnjCUUMcX,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""86"", ""Health"": ""71"", ""Defence"": ""65"", ""Element"": ""Obsidian"", ""IQ Level"": ""63"", ""Defence Ability"": ""Tactical Mind"", ""Special Ability 1"": ""Elemental Mastery"", ""Special Ability 2"": ""Dream Shield""}",0,0,0
0e0346b3-6d38-4696-b97a-2576ee59ed7e,The Obsidian Guardian,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F471AF9CF05BA1E32,ec829c99-fd94-4595-aa26-1a8691c7b29f,rM1upt2CuVhzcSz3ZtDLHEQd5T9Y2PuAKK,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""100"", ""Health"": ""78"", ""Defence"": ""99"", ""Element"": ""Obsidian"", ""IQ Level"": ""99"", ""Defence Ability"": ""Dream Shield"", ""Special Ability 1"": ""Shadow Step"", ""Special Ability 2"": ""Future Sight""}",0,0,0
56c7eef6-2bf9-4c20-bf80-a9fb33b9f250,The Platinum Mystic,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F1A919A3E05BA1FA1,ec829c99-fd94-4595-aa26-1a8691c7b29f,rDnUDpCunsAg9kiW5uUBJnuuJPfDeG4E54,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""platinum""]","[""common""]",10.00,1.00,"{""Power"": ""83"", ""Health"": ""92"", ""Defence"": ""70"", ""Element"": ""Platinum"", ""IQ Level"": ""72"", ""Defence Ability"": ""Time Warp"", ""Special Ability 1"": ""Dream Shield"", ""Special Ability 2"": ""Mental Block""}",0,0,0
a6e46bd8-1417-4858-a738-ebaaa172e531,The Diamond Rogue,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F7DFD7CAD05BA1F14,ec829c99-fd94-4595-aa26-1a8691c7b29f,rHfCaMiKuCT5qu9idkjP299dQXLJTvajuf,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""90"", ""Health"": ""87"", ""Defence"": ""60"", ""Element"": ""Diamond"", ""IQ Level"": ""90"", ""Defence Ability"": ""Future Sight"", ""Special Ability 1"": ""Shadow Step"", ""Special Ability 2"": ""Dream Shield""}",0,0,0
7a5515d3-b2da-4a97-88b7-caf709e2c8b1,The Obsidian Knight,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F3706517605BA1ED9,ec829c99-fd94-4595-aa26-1a8691c7b29f,rEYSW5CxHtFYBw8Ek4LbA23M1nvQ2bdZUx,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""96"", ""Health"": ""61"", ""Defence"": ""76"", ""Element"": ""Obsidian"", ""IQ Level"": ""71"", ""Defence Ability"": ""Mind Control"", ""Special Ability 1"": ""Dream Shield"", ""Special Ability 2"": ""Future Sight""}",0,0,0
d0f7242f-cc4a-486d-9da7-d0807d775470,The Obsidian Rogue,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8FFF2058C905BA1F30,ec829c99-fd94-4595-aa26-1a8691c7b29f,rw2uAC346ub9NNf2hwCdLhCZaKzZ5haKWn,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""99"", ""Health"": ""91"", ""Defence"": ""67"", ""Element"": ""Obsidian"", ""IQ Level"": ""96"", ""Defence Ability"": ""Life Drain"", ""Special Ability 1"": ""Light Shield"", ""Special Ability 2"": ""Reality Shift""}",0,0,0
e8924e32-2d8f-4d55-a2bc-078c875c3718,The Diamond Priest,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8FB409289905BA1F00,ec829c99-fd94-4595-aa26-1a8691c7b29f,rU21i7Fhx7pEC6uveQceCJjHqBXBMcNtbZ,,,1380.00,165.00,165.00,0.00,14000.00,"[""Equipped with shield""]","[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""97"", ""Health"": ""92"", ""Defence"": ""76"", ""Element"": ""Diamond"", ""IQ Level"": ""76"", ""Defence Ability"": ""Energy Shield"", ""Special Ability 1"": ""Mind Whisper"", ""Special Ability 2"": ""Reality Shift""}",0,0,0
e7457794-177b-4613-99a3-a59d15b0b63f,The Diamond Mystic,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F303528CE05BA1E31,ec829c99-fd94-4595-aa26-1a8691c7b29f,rM1upt2CuVhzcSz3ZtDLHEQd5T9Y2PuAKK,,,1360.00,170.00,170.00,0.00,13800.00,[],"[""diamond""]","[""common""]",10.00,1.00,"{""Power"": ""95"", ""Health"": ""60"", ""Defence"": ""87"", ""Element"": ""Diamond"", ""IQ Level"": ""93"", ""Defence Ability"": ""Dream Walk"", ""Special Ability 1"": ""Battle Foresight"", ""Special Ability 2"": ""Tactical Mind""}",0,0,0
962f4dae-67a1-498b-8697-9c822c2ff719,The Obsidian Sage,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F7FD7C96E05BA1ED1,ec829c99-fd94-4595-aa26-1a8691c7b29f,rEYSW5CxHtFYBw8Ek4LbA23M1nvQ2bdZUx,,,1360.00,170.00,170.00,0.00,13800.00,[],"[""obsidian""]","[""common""]",10.00,1.00,"{""Power"": ""83"", ""Health"": ""91"", ""Defence"": ""60"", ""Element"": ""Obsidian"", ""IQ Level"": ""79"", ""Defence Ability"": ""Shadow Step"", ""Special Ability 1"": ""Void Walk"", ""Special Ability 2"": ""Soul Bind""}",0,0,0
800a0301-019a-4721-ab7b-3d1509bfbded,The Platinum Sage,00080BB812C36A8E1C6C8B3DCE5BA3902299EF5B6EB51C8F07F86D0305BA1D66,ec829c99-fd94-4595-aa26-1a8691c7b29f,rLm7T7h1y3T9F3jdvtYcFZjPPsa9DYSFV,,,1360.00,170.00,170.00,0.00,13800.00,[],"[""platinum""]","[""common""]",10.00,1.00,"{""Power"": ""64"", ""Health"": ""83"", ""Defence"": ""70"", ""Element"": ""Platinum"", ""IQ Level"": ""99"", ""Defence Ability"": ""Soul Bind"", ""Special Ability 1"": ""Dream Walk"", ""Special Ability 2"": ""Mind Control""}",0,0,0
